"Listing ID","Sts","SubType","Address","Listing Contract Date","Activation Date","Purchase Contract Date","Close Date","City","County Or Parish","Original List Price","Days In MLS","Close Price","Current Price","RATIO Close Price By Original List Price","Concessions Amount","Bedrooms Total","Buyer Financing","Bathrooms Total Integer","Above Grade Finished Area","Building Area Total","Living Area","Parking Total","Association YN","Association Fee Total Annual"
"5546896","X","SFR","1194 W 125th Drive","12/02/2024","","","","Denver","Adams","$975,000","25","","$975,000","","","4","","3","2,773","4,140","2,773","3","Yes","$1,314.00"
"3105045","A","SFR","3883 E Fox Trail","12/02/2024","","","","Greenwood Village","Arapahoe","$5,300,000","33","","$5,300,000","","","7","","8","5,164","7,550","7,486","4","No","$0.00"
"3755896","A","SFR","4764 S Duquesne Street","12/02/2024","2024-12-02","","","Aurora","Arapahoe","$545,000","33","","$559,000","","","4","","3","1,707","2,479","1,707","2","Yes","$300.00"
"5673646","A","TWH","21953 E Quincy Circle","12/02/2024","2024-12-02","","","Aurora","Arapahoe","$530,000","33","","$530,000","","","4","","4","1,766","2,536","2,536","2","Yes","$1,854.00"
"4256836","A","SFR","4638 S Mobile Way","12/02/2024","2024-12-02","","","Aurora","Arapahoe","$525,000","33","","$525,000","","","4","","3","1,500","2,340","2,240","2","No","$0.00"
"9371922","A","SFR","4876 S Pagosa Circle","12/02/2024","","","","Aurora","Arapahoe","$470,000","33","","$470,000","","","3","","2","838","1,676","838","1","No","$0.00"
"5853713","A","TWH","3539 S Telluride Circle Unit# A","12/02/2024","","","","Aurora","Arapahoe","$449,999","33","","$449,999","","","3","","4","1,206","1,782","1,782","2","Yes","$3,432.00"
"3736367","P","SFR","7059 S Locust Place","12/02/2024","","12/17/2024","","Centennial","Arapahoe","$1,375,000","15","","$1,375,000","","","5","","4","2,938","4,505","4,308","2","Yes","$2,472.00"
"5415713","P","SFR","1916 S Coolidge Way","12/02/2024","","12/14/2024","","Aurora","Arapahoe","$649,990","12","","$649,990","","","5","","3","2,780","2,780","2,780","2","Yes","$1,500.00"
"4252714","P","SFR","3174 S Kirk Way","12/02/2024","","12/07/2024","","Aurora","Arapahoe","$625,000","5","","$625,000","","","4","","3","2,064","3,252","2,064","3","Yes","$540.00"
"8030562","C","SFR","950 S Potomac Court","12/02/2024","","12/03/2024","12/27/2024","Aurora","Arapahoe","$410,000","1","$425,000","$425,000","1.03659","5,000","4","Conventional","2","1,060","2,120","2,080","1","No","$0.00"
"4179398","A","SFR","4961 Aspen Creek Drive","12/02/2024","","","","Broomfield","Broomfield","$925,000","33","","$925,000","","","5","","3","2,800","4,174","2,800","3","Yes","$720.00"
"4314792","A","SFR","2480 Yates Street","12/02/2024","","","","Denver","Denver","$1,485,000","33","","$1,485,000","","","4","","3","2,760","3,460","3,460","2","No","$0.00"
"3578119","A","CON","1750 Wewatta Street Unit# 1313","12/02/2024","2024-12-02","","","Denver","Denver","$955,000","33","","$955,000","","","2","","2","1,395","1,395","1,395","2","Yes","$13,152.00"
"3422082","A","SFR","17938 E 54th Avenue","12/02/2024","","","","Denver","Denver","$555,000","33","","$554,900","","","4","","4","2,016","2,016","2,016","2","Yes","$0.00"
"4466044","A","SFR","997 Osceola Street","12/02/2024","","","","Denver","Denver","$465,000","33","","$449,000","","","3","","2","997","997","997","2","No","$0.00"
"4765075","A","SFR","4775 Williams Street","12/02/2024","","","","Denver","Denver","$385,000","33","","$385,000","","","3","","1","1,950","2,140","1,950","5","No","$0.00"
"8525810","A","CON","6495 E Happy Canyon Road Unit# 79","12/02/2024","2024-12-03","","","Denver","Denver","$310,000","33","","$310,000","","","2","","2","1,024","1,024","1,024","1","Yes","$4,416.00"
"8967827","A","CON","9725 E Harvard Avenue Unit# 322","12/02/2024","","","","Denver","Denver","$210,000","33","","$185,000","","","1","","1","721","721","721","1","Yes","$4,848.00"
"7006036","A","CON","2190 S Holly Street Unit# 116","12/02/2024","","","","Denver","Denver","$170,000","33","","$170,000","","","2","","1","793","793","793","1","Yes","$6,504.00"
"5257596","P","SFR","3680 Pontiac Street","12/02/2024","","12/12/2024","","Denver","Denver","$500,000","10","","$500,000","","","5","","2","1,282","2,564","2,544","2","No","$0.00"
"5095242","P","SFR","20000 Mitchell Place Unit# 89","12/02/2024","","12/13/2024","","Denver","Denver","$463,700","11","","$463,700","","","2","","3","1,522","1,522","1,522","2","Yes","$1,980.00"
"9611675","C","SFR","2150 S Saint Paul Street","12/02/2024","2024-12-03","12/14/2024","12/31/2024","Denver","Denver","$4,300,000","12","$4,100,000","$4,100,000","0.95349","25,000","6","Cash","7","4,325","6,482","6,273","3","No","$0.00"
"5670272","W","SFR","354 S Quitman Street","12/02/2024","2024-12-02","","","Denver","Denver","$225,000","2","","$225,000","","","1","","1","687","687","687","2","No","$0.00"
"7771069","A","SFR","13875 Hanging Lake Street","12/02/2024","","","","Parker","Douglas","$999,990","33","","$1,019,990","","","4","","5","3,116","4,549","3,116","2","Yes","$1,140.00"
"1859519","A","SFR","9866 Spring Hill Lane","12/02/2024","2024-12-02","","","Highlands Ranch","Douglas","$750,000","33","","$730,000","","","3","","4","1,949","2,529","2,374","2","Yes","$672.00"
"4102281","A","SFR","5705 Palmer Drive","12/02/2024","","","","Castle Rock","Douglas","$630,000","33","","$620,000","","","4","","4","1,956","2,829","2,785","3","Yes","$220.00"
"6279626","A","SFR","4888 Thorndike Avenue","12/02/2024","","","","Castle Rock","Douglas","$559,000","33","","$559,000","","","3","","3","1,615","1,615","1,615","2","Yes","$220.00"
"1503934","C","SFR","11766 S Breeze Grass Way","12/02/2024","2024-12-02","12/05/2024","12/20/2024","Parker","Douglas","$775,000","3","$741,000","$741,000","0.95613","0","3","Cash","2","2,341","3,853","2,341","3","Yes","$1,340.00"
